,text,start,duration
144,"then, moves onto line 2, and so on. So this is how python ",584.0,4.0
145,programs get executed. Now let me show you something cool. Let's add ,588.0,4.0
146,"another print statement, with quotations now",592.0,4.0
147,"in between the quotations, add a star or an asterisk, like",596.0,4.0
148,"this. Now after the quotation and before the parenthesis, ",600.0,4.0
149,"add a space, once again, add an asterisk, ",604.0,4.0
150,"space, 10. What is going on here? Well, ",608.0,4.0
151,anywhere we have quotations like here or here,612.0,4.0
152,"we're defining a string, a string is a programming term which means ",616.0,4.0
153,"a series of characters so here we have a string, we also have",620.0,4.0
154,"a string on line 3, as well as line 2 and line 1. ",624.0,4.0
155,"Now here, we're multiplying the string by ",628.0,4.0
156,"number 10. So this is the multiplication operator, just like the multiplication ",632.0,4.0
157,operator we have in math. So with this piece of code we can,636.0,4.0
158,"draw 10 asterisks on the terminal, let me show you. So let's run this",640.0,4.0
159,"program one more time, there you go. So we have 10",644.0,4.0
160,"asterisks. Now what we have here, this piece of code here, ",648.0,4.0
161,is called an expression. An expression is a piece of ,652.0,4.0
162,code that produces a value. So when Python interpreter ,656.0,4.0
163,"tries to execute line 4, first it will evaluate ",660.0,4.0
164,"the code that we put in between parenthesis, so we could evaluate our expressions ",664.0,4.0
165,Our expression will produce 10 asterisks and then,668.0,4.0
166,those asterisks will be printed on the terminal. Now as an exercise ,672.0,4.0
167,"you can use these print statements to draw another shape, you can draw a heart, a ",676.0,4.0
168,"ball, whatever you like. I will see you in the next tutorial. ",680.0,4.0
169,One of the questions I get a lot on my channel is,684.0,4.0
170,how long does it take to learn Python and become job ready? Well there is no single ,688.0,4.0
171,answer. It really depends on you and how much effort and commitment you want to put ,692.0,4.0
172,into this. But I would say if you spend 2 hours every day,696.0,4.0
173,"consistently, after about 3 months you should be able to write ",700.0,4.0
174,"basic python programs, but quite honestly, that doesn't get you a job. ",704.0,4.0
175,"In order to get a job, you need to specialize in one area,",708.0,4.0
176,what do you want to use python for? Do you want to build web applications or,712.0,4.0
177,desktop applications? Or do you want to use it in machine learning and artificial intelligence?,716.0,4.0
178,So whatever you want to do you need to take additional courses. ,720.0,4.0
179,For example if you want to become a web developer in addition to learning,724.0,4.0
180,"Python, you should also learn about html, some css, some",728.0,4.0
181,JavaScript and Django which is a popular Python framework ,732.0,4.0
182,for building web applications. Learning all these things would take you another ,736.0,4.0
183,"6 months, so in total you need 9-12 months to become",740.0,4.0
184,job ready. At that point you can get a junior developer job with a ,744.0,4.0
185,salary of about 50-60 thousand dollars a year. Now as you work more,748.0,4.0
186,"as you do more Python projects, your resume starts to build and ",752.0,4.0
187,"you can ask for $100,000 a year, or 120,000 dollars",756.0,4.0
188,"a year, depending on where you are, what company, what geographical area, ",760.0,4.0
189,"it really depends, there is no single answer. So are you excited to",764.0,4.0
190,"learn Python and get started on this career path? If you are, I would encourage you",768.0,4.0
191,to make a commitment and spend 2 hours every day practicing ,772.0,4.0
192,python. And use the comment box below and let me know why you are learning ,776.0,4.0
193,"Python, what do you want to do with it? What's your dream job? I would love to hear your story.",780.0,4.0
194,"In this Python tutorial, you're going to learn about variables, which are one of the most fundamental ",788.0,4.0
195,"concepts in programming, they're not specific to Python, they exist ",792.0,4.0
196,in pretty much every programming language out there. We use variables ,796.0,4.0
197,"to temporarily store data in a computer's memory. Here's an example, ",800.0,4.0
198,"let's type price = 10, when Python",804.0,4.0
199,"interpreter executes this code, it will allocate some memory, then it will store ",808.0,4.0
200,"the number 10 in that memory, and finally it will attach this",812.0,4.0
201,price label in that memory location. As a metahor,816.0,4.0
202,"imagine we have a box. In that box, we have number 10",820.0,4.0
203,and price is the label that we put on the box. Now we can use this label ,824.0,4.0
204,anywhere in our program to access the value that we have in that box. ,828.0,4.0
205,"This is a very simplified explanation. So now, let's ",832.0,4.0
206,"print price on the terminal. Print, now this time we're not going to",836.0,4.0
207,"add quotations, because if we put quotations here, we will see the text ",840.0,4.0
208,price on the terminal. Now the value of the price variable. ,844.0,4.0
209,"So, put it in quotations, and type price, ",848.0,4.0
210,"now, let's run this program one more time, there you go. So we see 10, ",852.0,4.0
211,"on the terminal. So this is how we define variables, we ",856.0,4.0
212,"start with an identifier which is the name of our variable, then, ",860.0,4.0
213,"an equal sign and finally a value. Now more accurately, when",864.0,4.0
214,"this number 10 is about to be stored in the memory, first it will",868.0,4.0
215,"get converted to this binary for presentation. So this number 10, ",872.0,4.0
216,is in the decimal system which has all the digits from 0 to 9. ,876.0,4.0
217,"Computers don't understand all these digits, they only understand ",880.0,4.0
218,0s and 1s. So when we store the number 10 in the computer's memory,884.0,4.0
219,first it will get converted to it's binary representation which will be ,888.0,4.0
220,"a bunch of 0's and 1's, like 001, 001, whatever ",892.0,4.0
221,"I don't know. Then it will get stored in the computer's memory. So,",896.0,4.0
222,let's take this program to the next level. On the second line we can ,900.0,4.0
223,"update the value of this price variable, so we can reset it",904.0,4.0
224,"to a new value like 20, now when we run our program, ",908.0,4.0
225,"we should see 20, because as I told you before Python interpreter executes our",912.0,4.0
226,code line by line from the top. So first we set ,916.0,4.0
227,"the price to 10, then we reset it to 20, and finally we ",920.0,4.0
228,"print it on the terminal, let's run the terminal, there you go, so, ",924.0,4.0
229,"we see 20 here, okay? Now these",928.0,4.0
230,numbers that we have here are whole numbers without a decimal point. ,932.0,4.0
231,"In programming, we refer to these numbers as integers. ",936.0,4.0
232,But integer is a number without a decimal point. We can also use,940.0,4.0
233,"numbers with a decimal point for example on line 2, we can define",944.0,4.0
234,another variable called rating and set it to number,948.0,4.0
235,"4.9. Now in programming, we refer to this kind of number as ",952.0,4.0
236,a floating point number of float for short. So we have integers ,956.0,4.0
237,and floats. We can also define a variable and set,960.0,4.0
238,"it to a string, for example, name equals ",964.0,4.0
239,"Mosh, we also have another kind of value which is called boolean, ",968.0,4.0
240,which can be true or false. They are line yes and no in English. ,972.0,4.0
241,"Here is an example, I'm going to define a variable, is underline",976.0,4.0
242,published so we use an underscore to separate,980.0,4.0
243,multiple words in our variables name. We set this to,984.0,4.0
244,"true, or false. These are",988.0,4.0
245,boolean values. now note that Python is a case ,992.0,4.0
246,"sensitive language, which means it's sensitive to lower case and upper case letters. ",996.0,4.0
247,So when defining variables we should always use ,1000.0,4.0
248,"lowercase letters, but here false and true are special keywords in the ",1004.0,4.0
249,"language, so if we spell it with a lowercase f, Python doesn't",1008.0,4.0
250,"understand it. You can see we have a red underline here, which indicates an error. ",1012.0,4.0
251,"Make sure to spell this with a capital F, or if you want to set this to true, ",1016.0,4.0
252,"make sure the T is capital, so in this",1020.0,4.0
253,"program, you're storing simple values in our computer's memory. Simple",1024.0,4.0
254,"values can be numbers, which can be integers or floats",1028.0,4.0
255,or they can be strings or booleans. But in Python ,1032.0,4.0
256,we can also store complex values like lists and values. And that's what I'm going to show you,1036.0,4.0
257,"in the future. So before going any further, I want you ",1040.0,4.0
258,to do a little exercise. Imagine we're going to write a program for a hospital. ,1044.0,4.0
259,So we check on a patient named John Smith. He's ,1048.0,4.0
260,"20 years old and is a new patient. I want you to define 3 variables here, ",1052.0,4.0
261,"for his name, his age, and another variable ",1056.0,4.0
262,for if this is a new or an existing patient. So pause the video and spend one,1060.0,4.0
263,"minute on this exercise. When you're done, come back, continue and see my solution. ",1064.0,4.0
264,"Alright, so here we need",1068.0,4.0
265,"three variables, the first one is the patient's name, ",1072.0,4.0
266,we set that to John Smith. We can also,1076.0,4.0
267,"call this full name, these are both valid names for our variables. ",1080.0,4.0
268,The second variable is for the age of our patient. So age ,1084.0,4.0
269,"is 20, and finally we need a variable to tell if this is a new ",1088.0,4.0
270,or existing patient. That's where we can use a boolean value. ,1092.0,4.0
271,"So, we define a variable, is new and ",1096.0,4.0
272,we set it to true. ,1100.0,4.0
273,"So, you have learned how to print",1104.0,4.0
274,"messages on the terminal window. In this tutorial, I'm going to show you how to ",1108.0,4.0
275,receive input from the user. So we're going to write a small program that asks ,1112.0,4.0
276,the user's name and then we'll print a greeting message customized,1116.0,4.0
277,for that user. So instead of print we're going to use,1120.0,4.0
278,input. Now both these input and print ,1124.0,4.0
279,are functions that are built into Python. As a metaphor think ,1128.0,4.0
280,of the remote control of the TV. On this remote control we have a bunch of ,1132.0,4.0
281,"buttons, these are the functions built into your tv, you can turn it on,",1136.0,4.0
282,"turn it off, change the volume and so on. In Python we also have ",1140.0,4.0
283,"functions for common tasks such as printing messages, receiving input, ",1144.0,4.0
284,"and so on. So we're going to use the input function, now whenever we",1148.0,4.0
285,"have these parenthesis, we're going to say we're calling or executing ",1152.0,4.0
286,"that function, it's like pressing a button on a remote control. So we're",1156.0,4.0
287,going to call the input function and in between parenthesis,1160.0,4.0
288,"we want to add a string to print something on the terminal, ",1164.0,4.0
289,what is your name? With a question mark followed by,1168.0,4.0
290,a space. You will see why in a second. So this input function,1172.0,4.0
291,"will print this message on the terminal, and then it will wait for the user to",1176.0,4.0
292,enter a value. Whatever the user enters this input function will,1180.0,4.0
293,return. So now we can get that value and store it in the memory using a variable. ,1184.0,4.0
294,So we get the result and put it in a variable called ,1188.0,4.0
295,name. Okay? Now on the second line,1192.0,4.0
296,"we want to print a message like Hi John or Hi Mosh or whatever, so, ",1196.0,4.0
297,"print, quotations Hi with a space,",1200.0,4.0
298,now after the quotation we want to dynamically print,1204.0,4.0
299,what we have in the name variable. So we had,1208.0,4.0
300,a plus sign and then name. So here we have,1212.0,4.0
301,"Hi which is a string, we're concatenating or",1216.0,4.0
302,"combining the string with another string, that is what we have",1220.0,4.0
303,in the name variable. So here's another example of,1224.0,4.0
304,an expression. Remember what is an expression? It's a piece of code that,1228.0,4.0
305,uses a value. So this expression concatenates or combines ,1232.0,4.0
306,2 strings. Let's run this program and see what happens. So run,1236.0,4.0
307,"okay, here is a question, what is your name? Mosh, ",1240.0,4.0
308,"now note that earlier we added a space after the question mark, we",1244.0,4.0
309,"did this, so here in the terminal window the cursor is",1248.0,4.0
310,"separated from the question mark, otherwise it would be so close. So let's type",1252.0,4.0
311,"whatever here, plus enter, now we get this message, Hi, Mosh. ",1256.0,4.0
312,Now here's a little exercise for you. I want you to extend this program,1260.0,4.0
313,and ask two questions. First all the person's name and then,1264.0,4.0
314,their favorite color. And then print a message like Mosh likes,1268.0,4.0
315,"blue. So pause the video, do this exercise and then come back and continue watching. ",1272.0,4.0
316,"Alright, so here's the first question right after that, ",1280.0,4.0
317,"all the input functions one more time, this time we're going to ask a different question. ",1284.0,4.0
318,What is your favorite color? ,1288.0,4.0
319,"Now, we get the new value and store it in the variable",1292.0,4.0
320,"called color, or you could call it favorite underline. ",1296.0,4.0
321,color. Either works. And finally we're going to change,1300.0,4.0
322,"what we pass to the print function, so first we print the name ",1304.0,4.0
323,"then we concatenate this with a string, here we're going to",1308.0,4.0
324,"type likes, we also put one space before and ",1312.0,4.0
325,"after likes, and once again we concatenate this. ",1316.0,4.0
326,"With the favorite color. So, favorite color, ",1320.0,4.0
327,"now let's run this program, so what is your name",1324.0,4.0
328,"Mosh enter, favorite color, blue, enter, ",1328.0,4.0
329,"we get this message, Mosh likes blue. ",1332.0,4.0
330,"Hey guys Mosh here, I just wanted to let you know that",1336.0,4.0
331,you really don't have to memorize anything in this course because I've put together a cheat sheet,1340.0,4.0
332,with summary notes. So you can quickly review the materials in this course. ,1344.0,4.0
333,The link is below this video. So I have done my best to create,1348.0,4.0
334,the best possible Python course on Youtube. And I really appreciate,1352.0,4.0
335,it if you support my hard work by liking this video and sharing it with,1356.0,4.0
336,"others, so they can learn as well. And be sure to subscribe to my channel, for more ",1360.0,4.0
337,"tutorials like this. Alright, now, let's move onto the next tutorial. ",1364.0,4.0
338,"In this Python tutorial, we're going to write a program that will ask the year that we were born",1372.0,4.0
339,"in, and then it will calculate our age and print it on the terminal. ",1376.0,4.0
340,"So, let's start with our input function, input ",1380.0,4.0
341,"let's print birth here, followed by a colon, ",1384.0,4.0
342,"and a space. Now let's get the return value and store it in a variable, ",1388.0,4.0
343,called birth_year. ,1392.0,4.0
344,"So as I told you before, we use an underscore to separate multiple words",1396.0,4.0
345,"Next, we need to calculate the age, so we define another",1400.0,4.0
346,"variable called age, and here we do some basic math, ",1404.0,4.0
347,"currently we are in 2019, so let's write an expression",1408.0,4.0
348,like this. 2019 - birth,1412.0,4.0
349,year. Now finally let's print ,1416.0,4.0
350,age on the terminal. Let's run our program and see what happens. ,1420.0,4.0
351,"So, my birth year is 1982, enter, ",1424.0,4.0
352,"oops, we got an error, what is going on here? So ",1428.0,4.0
353,"whenever you see this message, that means there is something wrong with your program. With the information",1432.0,4.0
354,"here, we can find exactly where the error occurred. So, ",1436.0,4.0
355,"next to the file you can see the file that generated this error, in this case",1440.0,4.0
356,that is app.py. So,1444.0,4.0
357,"currently our program only has a single file, but real complex programs often",1448.0,4.0
358,"have hundreds or even thousands of files. So in this file, ",1452.0,4.0
359,"on line 2, this is where we got this error, and right",1456.0,4.0
360,below that we can see the piece of code that generated this error. ,1460.0,4.0
361,"So that is where we're calculating the age, and right below",1464.0,4.0
362,"that you can see the type of error. In this case, we have a type error, and here's the",1468.0,4.0
363,message. Unsupported operand types for,1472.0,4.0
364,subtraction. Int and str.,1476.0,4.0
365,So int is short for integer and that represents a whole number ,1480.0,4.0
366,"and str is short for string, so here we're subtracting ",1484.0,4.0
367,"a string from an integer, and Python doesn't know what to do with it. ",1488.0,4.0
368,Let me explain. So I'm going to close the terminal window. So after,1492.0,4.0
369,the first line we executed we have this birth year variable set ,1496.0,4.0
370,"to a string, so whatever we type in the terminal is always",1500.0,4.0
371,"treated as a string, even if you type the number, in other words, ",1504.0,4.0
372,"when we run this program, this birth year variable will be set",1508.0,4.0
373,"to a string, with four characters. ",1512.0,4.0
374,1982. This string is different from the actual number,1516.0,4.0
375,1982. One is an integer and the other is a string. ,1520.0,4.0
376,"Right? So, back to line 2, where this",1524.0,4.0
377,"error occurred. At run time, which means when we run our program",1528.0,4.0
378,this expression on the right side of the assignment operator,1532.0,4.0
379,is going to look like this. 2019 - ,1536.0,4.0
380,string 1982. Python doesn't know how to,1540.0,4.0
381,interpret or how to evaluate this expression. To fix this problem ,1544.0,4.0
382,we need to convert this 1982 into an integer,1548.0,4.0
383,and then we'll be able to subtract it from 2019 and that ,1552.0,4.0
384,is easy. So far you have learned about two built in functions ,1556.0,4.0
385,one is print the other is input. We have a few other functions,1560.0,4.0
386,for converting values into different types. So we have ,1564.0,4.0
387,"int for converting a string into an integer, we also have",1568.0,4.0
388,"float for converting a string into a float, or a number",1572.0,4.0
389,with a decimal point. And we also have bool for converting a string ,1576.0,4.0
390,"into a  boolean value. So to fix this problem, ",1580.0,4.0
391,"we need to go back on line 2, ",1584.0,4.0
392,and pass this birth year variable to the int function like this.,1588.0,4.0
393,"int parenthesis, like this",1592.0,4.0
394,"so we pass this string to the int function, int will convert it into an itneger",1596.0,4.0
395,and then Python interpreter will be able to evaluate this expression. ,1600.0,4.0
396,"Now let's run this program one more time, so birth",1604.0,4.0
397,year is 1982 enter so I am,1608.0,4.0
398,37 years old. In Python we have a useful function,1612.0,4.0
399,"for getting the type of variables, for example, let's print the type",1616.0,4.0
400,"of birth year, so right after line 1, ",1620.0,4.0
401,"let's print, now here we're going to call another built in function, ",1624.0,4.0
402,"called type, and now let's pass birth ",1628.0,4.0
403,"year, okay, now similarly after line ",1632.0,4.0
404,"3, let's also print the type of age, so",1636.0,4.0
405,print type of age. ,1640.0,4.0
406,"Okay? So let's run our program, so birth year one more",1644.0,4.0
407,"time, 1982, okay, here's the result",1648.0,4.0
408,so the type of birth year as you can see is a class,1652.0,4.0
409,"of str or strings, we look at classes in the future so",1656.0,4.0
410,"for now don't worry about them, and also below them you cans ee the type of",1660.0,4.0
411,the age variable is int or integer. So,1664.0,4.0
412,"here's what you need to take away. Whenever you use the input function, ",1668.0,4.0
413,"you always get a string, so if you're expecting a numerical value",1672.0,4.0
414,you should always convert that string into an integer or,1676.0,4.0
415,a float. So here's a little exercise for you. I want you to write a program ,1680.0,4.0
416,ask the user their weight and then convert it to kilograms and print it,1684.0,4.0
417,"on a terminal. So pause the video, do the exercise and when you're ready come back",1688.0,4.0
418,to watch it. ,1692.0,4.0
419,Alright so let's use our input function and ask,1696.0,4.0
420,for the weight in pounds,1700.0,4.0
421,here we get the weight in lbs or pounds,1704.0,4.0
422,"now we need to convert this into kilograms, it's very easy so",1708.0,4.0
423,we defined another variable weight_kg ,1712.0,4.0
424,we set this to weight_lbs,1716.0,4.0
425,times 0.45. ,1720.0,4.0
426,And finally let's print weight underline,1724.0,4.0
427,kg. Let's run this Python program and see what happens. So,1728.0,4.0
428,"my weight is 160, alright once again we got an error, ",1732.0,4.0
429,can't multiply sequence by non int of type,1736.0,4.0
430,"float. So as I told you before, this input function returns",1740.0,4.0
431,"a string, so we cannot multiply a string by a float. ",1744.0,4.0
432,"Python doesn't know what to do with it. So in this case, we should convert this number",1748.0,4.0
433,by an integer or float and then multiply by 0.45. ,1752.0,4.0
434,So let's call the int function. ,1756.0,4.0
435,And pass weight underline lbs.,1760.0,4.0
436,"And run our program one more time, 160",1764.0,4.0
437,"okay, so I am 72 kg's. ",1768.0,4.0
438,"In this tutorial, you're going to learn more about Python strings. ",1776.0,4.0
439,So I've defined this course variable and set it to Python for beginners,1780.0,4.0
440,now earlier I told you you could use both single and double quotes,1784.0,4.0
441,"to define a string, but there are times you have to use a specific form,",1788.0,4.0
442,otherwise you're going to run into issues. Here's an example. Imagine you wanted to,1792.0,4.0
443,change this string into Pythons course for Beginners. ,1796.0,4.0
444,"So we want to add an apostrophe, like this, ",1800.0,4.0
445,Course for Beginners. You can immediately say this is going,1804.0,4.0
446,"crazy, because our string starts here and then terminates here, ",1808.0,4.0
447,all these characters that we have here after the second apostrophe,1812.0,4.0
448,Python interpreter doesn't know what they are. So to solve this problem,1816.0,4.0
449,we need to use double quotes to define our string so we can have ,1820.0,4.0
450,a single quote in the middle of the string. So let's change this,1824.0,4.0
451,"to double quotes, now you can see it adds another double quote to close it, ",1828.0,4.0
452,"you have to manually remove this, and also one more time",1832.0,4.0
453,"at the beginning of the string, we need to add another double quote. Now",1836.0,4.0
454,"you can see error is gone, so if you print course ",1840.0,4.0
455,we see Python course for beginners. ,1844.0,4.0
456,"Beautiful. Now let's say we don't want this apostrophe here, so we have",1848.0,4.0
457,"Python for Beginners, but we want to put Beginners in",1852.0,4.0
458,"double quotes. Once again, if you add a double quote here Python interpreter gets",1856.0,4.0
459,confused because it assumes the second double quote indicates that,1860.0,4.0
460,"end of the string, so it doesn't know what these characters are, so to solve this",1864.0,4.0
461,we need to change our double quotes to single quotes ,1868.0,4.0
462,like this. And then we can add double quotes in the middle,1872.0,4.0
463,"of the string. Now let's run this program, there you go. ",1876.0,4.0
464,So we get Python for Beginners. So these are the cases,1880.0,4.0
465,for using single or double quotes. Now in all the examples,1884.0,4.0
466,"I've shown you so far we only deal with short strings, but what if you wanted to define ",1888.0,4.0
467,"a string that is multiple lengths? For example, what if you wanted to define a string ",1892.0,4.0
468,for the message that we send in an email. In that case we need to use ,1896.0,4.0
