,Comment,Likes,Time,Subjectivity,Polarity,Analysis
11,"Thanks for this tutorial. Awesome explanations perfect for beginners. Particularly loved the exercises, as they ensure that the concepts really stick with us because we put them into practice. I'm personally learning coding to create apps that help people learn biology and maths (my true areas of expertise). Would also love to understand machine learning as I believe that it can have a big impact on our world and our understanding of science.",1,9 days ago,0.5388888888888889,0.43888888888888894,Positive
12,"Thank you Mosh for bringing me to the world of Python through this tutorial :)

Your video introduced Python and helped me begin my journey of learning more and more stuff for over 1 year now.... Thanks a lot!",21,1 month ago,0.55,0.4375,Positive
13,"Learning programming seemed like an impossible task for me a year ago. Thanks to Mosh, now I can say with  confidence that I have managed to grasp the fundamentals of python programming.  The content in this video is clear, well-structured and more importantly, easy to understand for absolute beginners like me. The fact that he made this amazing content for free for people around the world is just beyond remarkable. I'm grateful to you sir for this amazing and selfless service.  More power to Mosh!!",0,1 month ago,0.696969696969697,0.3543560606060607,Positive
14,"Hey Mosh, Many thanks for this amazing tutorial. As an entrepreneur to run data-driven innovations, Python can be of great help. As a senior business analyst, it is sort of upskilling to me.",0,9 days ago,0.5875,0.525,Positive
15,"(VERY IMPORTANT TIP FOR PEOPLE WATCHING!)
   Do not try watching the entire video at once. Limit your watch time from 30 or 60 minutes each day and make sure to participate and understand the code. This will take around a week to complete, but it will save you from feeling like you're not good enough. Don't rush yourself. Limit and pay attention!

EDIT: It also helps if you take notes or take a picture of the final result of the lesson. It is very helpful to look at when you're away from your computer. If you forget, you have a chance to examine the code and see how and why things work.",1.1K,1 year ago (edited),0.6642361111111111,0.1375,Positive
16,"The best method we have on memorizing Operator Precedence is by calling it P.E.M.D.A.S. Which means Parentheses, Exponents, Multiplication, Division, Addition, Subtraction.

I hope this helps ☺",0,16 hours ago,0.3,1.0,Positive
17,Hey Mosh! I simply love the way you teach. Coming to the question 'why I wanna learn python?' I wanna become risk data analyst! I see these fundamentals help me more in learning python data analysis. Thanks a lot! Keep smiling.😊❤️,3,2 weeks ago,0.43333333333333335,0.4583333333333333,Positive
18,Hey Mosh. I must say what an amazing video. I have started to get to the basics of it and it is really interesting. I want to learn Python because I want to explore programming (I am very curious) but I don't know what to do with it yet. Is learning to program without a direction of what you want to do also a viable option?,0,1 day ago,0.7999999999999999,0.32333333333333336,Positive
19,"Thank you so much! I'm 14 years old, and I didn't know anything about python. Your video was really helpful!!",4,1 month ago,0.20000000000000004,0.22083333333333333,Positive
20,"Here's the table of content for you. Enjoy! 
 
00:00:00 Introduction
00:01:49 Installing Python
00:06:10 Your First Python Program
00:08:11 How Python Code Gets Executed 
00:11:24 How Long It Takes To Learn Python 
00:13:03 Variables
00:18:21 Receiving Input
00:22:16 Python Cheat Sheet
00:22:46 Type Conversion
00:29:31 Strings
00:37:36 Formatted Strings
00:40:50 String Methods
00:48:33 Arithmetic Operations
00:51:33 Operator Precedence
00:55:04 Math Functions
00:58:17 If Statements
01:06:32 Logical Operators
01:11:25 Comparison Operators
01:16:17 Weight Converter Program 
01:20:43 While Loops
01:24:07 Building a Guessing Game
01:30:51 Building the Car Game
01:41:48 For Loops
01:47:46 Nested Loops
01:55:50 Lists
02:01:45 2D Lists
02:05:11 My Complete Python Course 
02:06:00 List Methods
02:13:25 Tuples
02:15:34 Unpacking
02:18:21 Dictionaries
02:26:21 Emoji Converter
02:30:31 Functions
02:35:21 Parameters
02:39:24 Keyword Arguments 
02:44:45 Return Statement
02:48:55 Creating a Reusable Function 
02:53:42 Exceptions
02:59:14 Comments
03:01:46 Classes
03:07:46 Constructors
03:14:41 Inheritance
03:19:33 Modules
03:30:28 Packages
03:36:22 Generating Random Values
03:44:37 Working with Directories 
03:50:47 Pypi and Pip
03:55:34 Project 1: Automation with Python
04:10:22 Project 2: Machine Learning with Python 
04:58:37 Project 3: Building a Website with Django",12K,2 years ago (edited),0.39791666666666664,-0.031250000000000014,Negative
21,This course has everything right about it. Very well designed for beginners. Voice over is clear and with optimum speed. Loved it totally.,150,1 month ago,0.6115079365079366,0.33095238095238094,Positive
22,"I am 12 years old, and i am learning python so I can get my dream job as programmer at NASA. As they say that it's never too early to start learning what you have a passion for.",608,1 month ago (edited),0.25,0.1,Positive
23,"Hey Mosh, thank you so, SO much for this tutorial. I honestly think your channel is THE best to learn programming from — your explanations are clear, and you make programming look so much less intimidating. Your voice is even entertaining, it sounds like you're smiling, and the enthusiasm is contagious.",0,7 days ago,0.425,0.37222222222222223,Positive
24,"The Python Tutorial is super amazing and easy to understand, I would like to thank Mosh for an awesome explanation!",2,1 month ago,0.85,0.5916666666666667,Positive
25,Mosh is absolutely a genius. His approach to explain complex concepts in simple terms showcases his mastery of the language as well and his strength in teaching.,4,1 month ago,0.5523809523809524,-0.033333333333333326,Negative
26,"I am 89 years old,  and have been a retired backend developer for about 15 years.  I'm bored out of my mind, so I thought I could learn something new. I had expert level skills with SQL Server Reporting Services (SSRS), SQL, T-SQL and PL/SQL, Stored Procedures and Packages. I was an expert in ETL as well as DTS.  If I can work from home, it should remove the overwhelming stigma of age bias.  We'll see how it goes.",1K,8 months ago,0.6636363636363636,0.05909090909090908,Positive
27,"""You are not too old or too young and Python is super easy to learn.....!!"" loved it",2,2 months ago,0.5800000000000001,0.38208333333333333,Positive
28,This was like the perfect python video for someone wanting to learn python . Thank you Mosh seriously,22,1 month ago,0.8333333333333333,0.33333333333333337,Positive
29,"I'm learning python because am having my Exams next week and I don't know a single thing about it even though out college teaches us. At first I was sooo interested and exited for leading coding but then, the way they teach coding in our college is really messed up and I got my hate towards coding. But now after I seen this, am really getting my confidence and intrest back in coding by learning new things here and I'm gonna keep continuing this! Thanks Mosk",49,1 month ago,0.30021645021645027,0.0399025974025974,Positive
30,Hands down the best python tutor. Thank you for taking your time to create your marvelous step by step guide. You made python not only easy but fun to learn. Instant like and sub. Thanks Mosh!!!,1,2 months ago,0.5611111111111112,0.3710503472222222,Positive
31,"Well Done Mr. Mosh, you are actually changing the life of beginners of python by these classical courses on python.
I hope this course helps me and others as well :) 

#Love from Pakistan",0,1 month ago,0.42500000000000004,0.25,Positive
32,he did all this hard work and sent it to the internet for free. and he doesn't get too much but what he gets is RESPECT and credit for bringing new aspiring programmers to earth,567,5 months ago,0.49905303030303033,0.11117424242424243,Positive
33,"Hi, Mosh!
I really enjoyed your Python course, just finished watching it. :)
Could you explain about the doubled underscored magic methods as you mentioned here? 03:06:10
Thank you!",0,2 months ago,0.9,0.5416666666666666,Positive
34,Hi Mosh! Loving this so far! I'm an absolute beginer and this is so easy to follow and makes perfect sense. One thing though: I couldn't download the cheat sheet. I get the 404 error.,3,2 months ago,0.9366666666666668,0.4716666666666667,Positive
35,"2:12:21  If you wanna use remove(x) method instead of append(x), make sure you copy the list to another variable say list1.  Because if you use only the main list, it will shorten the list according to the remove(x) method, so python interpreter will jump a few numbers.  So some of the duplicates will remove and some of them will remain unremoved. 

So use the list variable to run the loop and make changes [ remove(x) ] in the variable list1

Here's my code : 

# removes the duplicates in a list
 
list = [5, 8, 5, 4, 7, 4, 7, 3, 1, 8, 100, 100, 5, 9]
list.sort()
print(numbers)
 
list1 = list.copy()             # caution:  can't use list1 = list
value = float('-inf')
 
for x in list:
    if value == x:
        list1.remove(x)
    else:
        value = x
print(list1)",9,1 month ago,0.5805555555555556,0.11666666666666665,Positive
36,this courses teaches me everything I need to know. Thank you Mosh for your hardworking.,16,1 month ago,0.0,0.0,Neutral
37,Thank you for your teaching all different courses so clearly well!,0,12 days ago,0.49166666666666664,0.06250000000000001,Positive
38,If u ever feel useless in life just remember there are idiotic fools that dislike a 6 hour video of a man teaching how to use python for absolutley free,7.6K,6 months ago,0.6111111111111112,-0.2555555555555555,Negative
39,"Thank You for this tutorial. As a beginner, this was very useful to understand the basics!",0,2 months ago,0.0,0.48750000000000004,Positive
40,"TABLE OF CONTENT
 
00:00:00 Introduction
00:01:49 Installing Python 3
00:06:10 Your First Python Program
00:08:11 How Python Code Gets Executed 
00:11:24 How Long It Takes To Learn Python 
00:13:03 Variables
00:18:21 Receiving Input
00:22:16 Python Cheat Sheet
00:22:46 Type Conversion
00:29:31 Strings
00:37:36 Formatted Strings
00:40:50 String Methods
00:48:33 Arithmetic Operations
00:51:33 Operator Precedence
00:55:04 Math Functions
00:58:17 If Statements
01:06:32 Logical Operators
01:11:25 Comparison Operators
01:16:17 Weight Converter Program 
01:20:43 While Loops
01:24:07 Building a Guessing Game
01:30:51 Building the Car Game
01:41:48 For Loops
01:47:46 Nested Loops
01:55:50 Lists
02:01:45 2D Lists
02:05:11 My Complete Python Course 
02:06:00 List Methods
02:13:25 Tuples
02:15:34 Unpacking
02:18:21 Dictionaries
02:26:21 Emoji Converter
02:30:31 Functions
02:35:21 Parameters
02:39:24 Keyword Arguments 
02:44:45 Return Statement
02:48:55 Creating a Reusable Function 
02:53:42 Exceptions
02:59:14 Comments
03:01:46 Classes
03:07:46 Constructors
03:14:41 Inheritance
03:19:33 Modules
03:30:12 Packages
03:36:22 Generating Random Values
03:44:37 Working with Directories 
03:50:47 Pypi and Pip
03:55:34 Project 1: Automation with Python
04:10:22 Project 2: Machine Learning with Python 
04:58:37 Project 3: Building a Website with Django",370,1 year ago,0.3833333333333333,-0.10714285714285714,Negative
41,"I was acquainted with C++ which was very elaborate and time consuming. I see, in python though, we do not use semi-colons at the end of statements to be executed. Saves from the fear of syntactical error . Also, since you asked Mosh, I am learning python because I have joined one of the Big Fours as a data analyst. We work extensively with this programming language :)",4,2 weeks ago,0.6066666666666667,0.32999999999999996,Positive
42,"Hey Mosh,
I use this class every day to learn Python. But i have a big problem that i will forget everything i learn today, tomorrow.
What should i do ? If you have a suggestion, i will gladly listen. 
Thanks for your good education 🙏🙏",2,5 days ago,0.47500000000000003,0.35,Positive
43,"MOSH YOU ARE AMAZING!! I've recently been learning Lua, and I never got a very clear explanation like you've given me with Python. Thank you for teaching the world about the best programming language in the world :D",0,3 weeks ago,0.5896666666666667,0.6134999999999999,Positive
44,I really can not thank you enough. You succeeded to make me love programming especially Python. God bless you Mosh.,0,4 days ago,0.575,0.175,Positive
45,"for people starting out

don't worry if you watched 5 minutes of his video and ended up practicing for 60 minutes. That's actually the most practical way to learn. Here is how i learn :

I finish two topics and then i spend time practicing both of them together, then when i learn the next topic i practice all three topics together. That way i don't forget. Don't get frustrated just slow down relax and practice and before you know it you'll be done :)

Pro tips
: If you're watching in laptop watch in cinema mode [full screen] 
Open a google docs or a word document and write some code that. you find hard to understand and then learn it step by step.
Before starting to watch the video again, review the material and revise it before learning a new topic
You can refer to his cheat sheet too! Anytime you're stuck :) You can also make your own cheat sheet :)",399,1 year ago (edited),0.48344381313131307,0.1045770202020202,Positive
46,"Thank you Mosh.  I'm learning Python because I am an elementary teacher, who teaches scratch and I want to teach my students to relate the block code to a written language.",1,2 weeks ago,0.9,0.3,Positive
47,"I'm also learning. Thank you for the tutorials. My answer to the exercise in 1:59:00 was 
numbers = [1,5,9,10]
print(max(numbers))",0,2 days ago,0.0,0.0,Neutral
48,"Dear Mosh thank you for your great job, I'm back again to study programming after > 25 years. I want to study Python because I'm Odoo lover and this ERP was written by Python and other new Apps. Python started to be # 1 in programming.",0,8 days ago,0.39488636363636365,0.2028409090909091,Positive
49,Thank you for the wonderful video and your effort in teaching the concept of Python in a simple way . This tutorial has helped my kid !,0,1 month ago,0.6785714285714286,0.5,Positive
50,"Why would you dislike something like this. He has basically spent hours of his lifetime to create quality content that even non-IT people could easily understand. Kudos to you, Mosh. Top class work.",482,10 months ago,0.4777777777777778,0.2777777777777778,Positive
51,"I hit 32 a couple of weeks ago and came up to an idea that my brain needs challenges. So I started a paid four-month course on Data Engineering (Python and SQL) and maaan it's so hard to understand the theory and very vague exercises, partially because I've been a translator for 6 years and it ain't easy to grasp all these algorithms and variables, but Mosh explains it as a true yoda. Thank you very much for this splendid course, I WILL finish it daggommit!",0,2 days ago,0.6050000000000001,0.14309523809523808,Positive
52,"This is really very helpful  and a special video for me. I am a computer science student. And this tutorials from you give me, not only the knowlege but also an inspiration to enter deep in to the world of programming languages .
Thank you very much sir",1,7 days ago,0.5062857142857142,0.16342857142857142,Positive
53,"Hey Mosh. So far your course has been extremely helpful. But I've run into a problem
 I'm using Visual Studio code for python and I was trying to import the random module. When I run the code, my terminal is continuously printing the number ""1"".
Do you have any idea as to why this is happening?",0,4 weeks ago,0.625,-0.13125,Negative
54,Thank you for sharing this. When I watch your tutorials I feel you really care the audience actually learn. Awesome job :),8,1 month ago,0.575,0.425,Positive
55,I can't even imagine how long it took to complete this video. Thanks a ton for your effort.,311,8 months ago,0.3333333333333333,0.08333333333333333,Positive
56,So glad I found this course. Easy to interpret and follow. Fabulous for any beginner!!,0,2 weeks ago,0.9444444444444445,0.5194444444444445,Positive
57,"I am learning a lot Mosh, I am following and trying out the exercises on my own and then compare my answer with yours. Your teaching style works best for me, a complete beginner. I hope to learn a lot more from you,",0,1 month ago,0.4600000000000001,0.44000000000000006,Positive
58,Great course! Excellent teacher! It was very helpful! Thank you!,0,4 days ago,0.6833333333333332,0.7708333333333334,Positive
59,"Thank you for all of your help in this course. I just finished it140, and that class didn't teach me the concepts of python, but this course is allowing me to be able to learn python and understand whats is going on and how its works and teach me how to use it in actually code",0,1 month ago,0.3625,0.25,Positive
60,"Wow, this looks like a great course! 😀",9.4K,2 years ago,0.875,0.55,Positive
61,"I’ve spent the last 4 years in the Post production part of the film industry working on some of the most well known films and TV shows. Now it involves python to a degree which I know a bit of but I’m slowly wanting to expand my knowledge so I can transfer the pythons skills into a different industry or help develop my current one. The fact this course is FREE and goes through the absolute (pun intended) basics of python so I can use it to my maximum potential has been a god send so I don’t feel like I’m stuck in one spot! 

I can truly expand my avenues thanks to the fact you have this openly available on YouTube!",0,1 month ago,0.48787878787878786,0.12727272727272726,Positive
62,"Amazing course, thank you so much for all of the hard work you have put into this",7,1 month ago,0.5472222222222222,0.16944444444444443,Positive
63,"1:19:30
i know you are the one who is teaching us here, but wouldnt it be simpler NOT to have that variable there?

here is what i wrote

weight = input(""Weight: "")
lbs_or_kg = input(""(L)bs or (K)g: "")
 
if lbs_or_kg.upper() == ""L"":
    print(f""You are {float(weight) * 0.45359290943} Kg"")
elif lbs_or_kg.upper() == ""K"":
    print(f""You are {float(weight) * 2.20462} Lbs"")
else:
    print(""Unit not recognized"")

i think thats simpler because you dont have to define a third variable and i think this should be a little faster to run (not that it matters), but who knows, it works still so who cares",1,13 hours ago (edited),0.25,-0.09375,Negative
64,I watched his other video for Java programming and it perfectly summed up all my semester-long Java course in college (which i didnt understand any back then). He really did a good job of explaining things and making the code applicable.,1,2 months ago,0.43499999999999994,0.355,Positive
65,"Awesome tutorial, thanks a lot.
For those who will struggle like me in the project 3 (Django) to change the path of base.html in the Templates directory because in the last Django version in settings.py it doesn't ""import os"" anymore but have a ""from pathlib import Path"", the solution is :
To add ""Path.joinpath(BASE_DIR, 'templates')"" in TEMPLATES > 'DIRS' instead of ""os.path.join(BASE_DIR, 'templates')"".
You're welcome ;)",1,8 days ago,0.6333333333333333,0.45,Positive
66,"Honestly, this guy is incredible. He explains everything soo precisely and efficiently without any unnecessary information. Thanks a lot for this video. You made my life easier.",229,9 months ago,0.74,0.33999999999999997,Positive
67,Thankyou ! Even i didn't wanted to learn anything related to Django i watched it because you already gave me so much useful knowledge in remaining 5 hours ..,0,2 months ago,0.2,0.15,Positive
68,I would just like to say thank you. I have just started watching and I am just so grateful for you making this available for those willing to learn,0,1 month ago,0.575,0.325,Positive
69,I really love this tutorial once I finish it I will read through docs being able to understand it better cause a tutorial is never enough to learn a programming language,0,12 days ago,0.55625,0.375,Positive
70,Great tutorials Mosh! Keep it up. I can relate to this closely as I have been coding for 17 years and training new kids.,3,2 months ago,0.6022727272727273,0.5681818181818181,Positive
71,i am amazed how effortlessly this guy has taught python programming and free... he deserves are nobel prize... God Bless,18,1 month ago,0.8,0.4,Positive
72,"How did this man come into existence. Makes a high quality 6 hour course for free, it's amazing! All his tutorials are super easy to understand and don't feel like they're giving you things to do without knowing half the stuff you need to like half the other tutorials out there. Awesome job!",152,6 months ago,0.6053703703703703,0.2909259259259259,Positive
73,"~41:48 ""You can use Len to enforce a limit on characters""
Ok, I tried that and it said no. My code was this

course = input('Python for Beginners: ')
if int(len(course)) > 20:
     print(""Go away"")
else:
     print(len(course))

What I got was an error that said
  File ""/Users/scott/PycharmProjects/FirstSteps/ForgottenSteps.py"", line 1, in <module>
    course = input('Python for Beginners: ')
  File ""<string>"", line 1, in <module>
NameError: name 'Python' is not defined


I took out the first few lines I've gotten with literally all the errors I've encountered and copied from the line that was different.
I simply put 'Python' for my input.",0,2 days ago (edited),0.3780952380952381,0.11000000000000001,Positive
74,"I have never been able to understand  python more easily
I started with literally no knowledge of python except that it's a programming language 😂.
Thanks for your awesome work❤️",0,1 month ago,0.6316666666666667,0.5266666666666666,Positive
75,"Very well organized, excellent examples, professionally presented.  Thank you.",1,1 month ago,0.46666666666666673,0.43333333333333335,Positive
76,"Hey Mosh, Just started with the tutorial, I am interested to use python for embedded development. Hope this tutorial is useful for me !",0,2 months ago,0.25,0.3125,Positive
77,Too kind of you to share this full course for python 💜💜💜 Youre a blessing Sir Mosh! God bless!,0,1 month ago,0.7250000000000001,0.5734375,Positive
78,"This guy changed my whole life.

He was my motivation and his teaching skills are infinity and beyond.This guy is really cool.

back to 2019 i was learning python from mosh.
Now, i'm a full-stack developer still got a lot to go.I'm really thankful to this guy. <3",226,1 year ago,0.45,0.35,Positive
79,This is the best ever python course in saw on internet. Thank you Sir for providing this amazing course for free,2,2 weeks ago,0.6666666666666666,0.6666666666666666,Positive
80,"As a retired teacher and lecturer, I admire Moshe's pace and pitch; really helpful",239,1 year ago,0.2,0.2,Positive
81,22:31  No wonder that this is the best python course in youtube. Amazing explanation. Great way of teaching.,1,1 month ago (edited),0.65,0.8000000000000002,Positive
82,It's the best video i have ever watched. I think everybody sees that you try to teach us very well. Thank you for this perfect video😍,1,2 months ago,0.5333333333333333,0.7333333333333334,Positive
83,I really love your videos! They are so helpful and easy to learn!,0,2 days ago,0.7166666666666667,0.5833333333333334,Positive
84,"Hi Mosh. Thanks for the amazing video! 

What's the reason why we should use Keyword arguments after Positional arguments?",0,2 months ago,0.55,0.4750000000000001,Positive
85,The way you are teaching is just awesome... really appreciate your help.❤️,0,5 days ago,0.6,0.6,Positive
86,"""I've taught over 3 million people who too code""
No, my friend, you taught 20 million people. great video!! loving watching it",311,1 year ago (edited),0.85,0.8,Positive
87,"Hello Mosh, these tutorials are really very helpful. I need to learn python so the I can develop various scripts in the Computer Aided Engineering (CAE) tools. Could you please suggest any other course which will help me in developing scripts for the CAE Tools like Abaqus and Ansa. Thank you!",0,2 months ago,0.39166666666666666,0.014583333333333337,Positive
88,Mosh is a legend . First tutorial I have completed ..took me one and a half months so as to master  but definitely worth it . Never got bored. Thanks Mosh.,0,1 month ago,0.36,0.016666666666666663,Positive
89,"thank you boss, this is an amazing refresher .
nice thorough and to the point! 
keep up the good work",0,1 month ago,0.8333333333333334,0.6833333333333332,Positive
90,"This Python course is very helpful mosh!!
Thank you so much for this!🙂🙂
👍🏻👍🏻👍🏻",2,2 months ago,0.25,0.25625,Positive
91,"I finally finished watching this whole video it gives me a next level satisfaction, really learned many things from this video thanks mosh for your effort",0,11 days ago,0.3833333333333333,0.18333333333333335,Positive
92,I started learning python with this particular course a year ago. Now I  will start my first internship in a few month. Really recommend this amazing course. Thanks Mosh !,76,1 year ago (edited),0.3444444444444445,0.2111111111111111,Positive
93,"Hi Mosh, thanks for the amazing tutorial. I decided to learn Python to switch to a new career in data analytics. Do you think it’s a good idea considering the development of ML and AI? Thanks!",0,1 month ago,0.470909090909091,0.37727272727272726,Positive
94,I developed a website in PHP and now I'm learning Python with this tutorial. Thank you Mosh !!! you are awesome,1,2 months ago,0.65,0.59765625,Positive
95,you are a blessing mannnnnn...i just started my varsity and my first course is programming.all along i have been in the dark but thanks to you Mr MOsh i am now understanding very well yet im still in the tutorial section of Variables.Thank you.>>All the way from Zimbabwe,0,1 month ago,0.30833333333333335,0.125,Positive
96,"Hello Mosh, Thank you for the course, I found it very useful. I need a piece of advice, I'm a mechatronics engineer, I'd like to develop my skills, could you please tell me what automation frameworks I'd better learn?",0,2 weeks ago,0.25,0.445,Positive
97,"I've never learnt coding before, and I find it difficult to remember things I'm not enthusiastic about, so once Mosh explained enough I made a little text based game about fighting monsters, and then after every new topic Mosh explains I find a way to add it to the game. Sometimes (like with the introduction of dictionaries and functions) I need to spend a while reformatting everything, but it's a really fun exercise, and the end result has at least one example of everything covered in the video so far (I'm just under 3 hours in).
I just thought I'd mention in case anyone else thinks this is a good idea and wants to do the same (could be a game about anything, like a mystery or exploration game!).",0,2 weeks ago (edited),0.49196969696969706,-0.10340909090909092,Negative
98,"I haven't began watching it, but the fact that there are sites out there charging ridiculous amounts of money to teach this and this guy has taken over six hours to teach it for free; I definitely appreciate the effort: Liked, Subscribed and voted for him 👍",503,2 months ago,0.7749999999999999,0.16666666666666669,Positive
99,Thank you sooo much for teaching us python it helped soo much and I even created my website with the part at the end it turned out soo good. I had understand it so good and much that I created a preview for the website where everybody sees what there is in the website. Once again thanks a loooot 😊😁😄☺️,0,2 months ago,0.3333333333333333,0.3666666666666667,Positive
100,"To find this whole course freely available on YouTube is such a gift. Seriously, you cover a LOT of ground. Thank you for all your hard work on this! 👏👏👏",118,1 year ago,0.5016666666666667,-0.01958333333333332,Negative
101,"Thanks for the tutorial! I have a question: how come that the '=' does not always behave the same way? If I write: 
cell1 = list[0] 
cell2 = list[0]
cell1 and cell2 are independent, since the '=' only puts the value of the right expression into the variable on the left. So modifying cell1 will not modify cell2. And it will not modify list[0] either.

However, in the excel project (4:04:00), if I write:
cell1 = sheet.cell(1, 3)
cell2 = sheet.cell(1, 3)
cell1 and cell2 are actually dependent. The '=' is doing more that just putting the value of the right expression into the variable on the left. It is creating a link between its two sides. So if I modify the value of cell2, the value of  sheet.cell(1, 3) will be automatically modified, and cell1 will also be modified, even if the instruction 'cell1 = sheet.cell(1, 3)' was previously executed by the program and not executed again to update the value of cell1.
So why the '=' is having such a different behaviour? And what determines which behaviour it should have? 
Thanks",0,3 weeks ago (edited),0.3277210884353741,0.09676870748299317,Positive
102,"MOSH IS THE G.O.A.T..
he makes it all sound so attainable and easy to comprehend , even for a newbie like me.. And I'm learning this just for the sake of learning. Mosh is a great tutor.",0,3 weeks ago,0.6611111111111111,0.5444444444444444,Positive
103,"I'm currently a teacher and LOVE my job. But also, I know I won't want to do it forever and ideally would like something I can do from more or less anywhere in the world as my partner and I are permanent expats. Thanks for this, you are a rockstar!",4,1 month ago,0.4611111111111112,0.33055555555555555,Positive
104,Its awesome. I have no words  to express his support in programming languages. He is a real Guru.,4,1 month ago,0.65,0.6,Positive
105,"Big thanks to you Mosh for your hard work , I recently started and i am loving it .",0,12 days ago,0.4083333333333334,0.10166666666666666,Positive
106,"As a Python user, I think this is amazing. The ease and conciseness with which Mosh goes through the tutorials not only shows his incredible understanding and deep knowledge of programming in general, but a big talent for teaching as well. This would always be my first pick if I were a beginner.",74,7 months ago,0.5904761904761904,0.2571428571428572,Positive
107,I ve started watching your videos and thanks for sharing your knowledge with us. I m very begginer of coding never coded before and I m following all your advices step by step. Hope I ll be able to code soon <3,1,3 weeks ago,0.445,0.38,Positive
108,Thank you so much for what you do! I can tell you that I found the lack of knowledge in coding during my engineering job. I have an idea for optimisation some base operations. As our porgrammers don't want to help us it is my choice to solve the problem by myself) Wish me luck!),0,5 days ago,0.6,-0.375,Negative
109,"for the removing duplicates exercise at 2:12:05 i did this and worked well too:

list = [1, 2, 2, 3, 4, 5, 5, 6, 6, 7]

for number in list:
        if list.count(number) > 1:
               list.remove(number)
print(list)

result was [1, 2, 3, 4, 5, 6, 7]😁",7,3 weeks ago,0.0,0.0,Neutral
110,"I'm developing some application for a hospital in my hometown using PHP, so with this tutorial, i would like to build it again using python, I hope it will be my first python project. Thank you for yours time to make this video for us the newbie in python",0,1 month ago (edited),0.3333333333333333,0.25,Positive
111,Thank you so much! This course is very useful and helpful.,0,11 days ago,0.1,0.32,Positive
